model,RMSE,MAE,MAPE,R2,training_time_sec
LinearRegression,24.754028073162473,17.29144885714414,20.07,0.6063198563288879,5.17
RandomForest,24.489435077173283,17.092486459538026,19.82,0.6146908821993222,30.74
GBTRegressor,24.678795773197084,17.242979611892192,19.86,0.6087091608865511,42.98
LSTM,27.1646,19.414,22.74,0.4224,1490.02
